sheetName,cellRef,fieldName,javaType,excelFormat
"ASSET_DTL_5a","C2","asset_dtl_5a_r2c3","java.lang.Double","General"
"ASSET_DTL_5a","C3","contents_b59","java.lang.Double","General"
"ASSET_DTL_5a","C4","contents_e_3","java.lang.Double","General"
"ASSET_DTL_5a","C6","contents_e_4","java.lang.Double","General"
"ASSET_DTL_5a","C15","sending_branch_or_reason","java.lang.String","@"
"ASSET_DTL_5a","D15","amount","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","E15","sending_branch_or_reason_2","java.lang.String","General"
"ASSET_DTL_5a","F15","asset_dtl_5a_r15c6","java.lang.String","General"
"ASSET_DTL_5a","G15","amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","C16","sending_branch_or_reason_3","java.lang.String","@"
"ASSET_DTL_5a","D16","amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","E16","sending_branch_or_reason_4","java.lang.String","General"
"ASSET_DTL_5a","F16","asset_dtl_5a_r16c6","java.lang.String","General"
"ASSET_DTL_5a","G16","amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","C17","sending_branch_or_reason_5","java.lang.String","@"
"ASSET_DTL_5a","D17","amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","E17","sending_branch_or_reason_6","java.lang.String","General"
"ASSET_DTL_5a","F17","asset_dtl_5a_r17c6","java.lang.String","General"
"ASSET_DTL_5a","G17","amount_6","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","C18","sending_branch_or_reason_7","java.lang.String","@"
"ASSET_DTL_5a","D18","amount_7","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","E18","sending_branch_or_reason_8","java.lang.String","General"
"ASSET_DTL_5a","F18","asset_dtl_5a_r18c6","java.lang.String","General"
"ASSET_DTL_5a","G18","amount_8","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","G19","amount_add_total_to_pg_3_i_a_end","java.lang.Double","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","C24","receivables_owed_from","java.lang.String","@"
"ASSET_DTL_5a","D24","reason","java.lang.String","@"
"ASSET_DTL_5a","E24","sending_branch_or_reason_9","java.lang.String","@"
"ASSET_DTL_5a","F24","prior_amount","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","G24","current_amount","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","C25","receivables_owed_from_2","java.lang.String","@"
"ASSET_DTL_5a","D25","reason_2","java.lang.String","@"
"ASSET_DTL_5a","E25","sending_branch_or_reason_10","java.lang.String","@"
"ASSET_DTL_5a","F25","prior_amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","G25","current_amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","C26","receivables_owed_from_3","java.lang.String","@"
"ASSET_DTL_5a","D26","reason_3","java.lang.String","@"
"ASSET_DTL_5a","E26","sending_branch_or_reason_11","java.lang.String","@"
"ASSET_DTL_5a","F26","prior_amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","G26","current_amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","C27","receivables_owed_from_4","java.lang.String","@"
"ASSET_DTL_5a","D27","reason_4","java.lang.String","@"
"ASSET_DTL_5a","E27","sending_branch_or_reason_12","java.lang.String","@"
"ASSET_DTL_5a","F27","prior_amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","G27","current_amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5a","C28","receivables_owed_from_5","java.lang.String","@"
"ASSET_DTL_5a","D28","reason_5","java.lang.String","@"
"ASSET_DTL_5a","E28","sending_branch_or_reason_13","java.lang.String","@"
"ASSET_DTL_5a","F28","prior_amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
