sheetName,cellRef,fieldName,javaType,excelFormat
"ASSET_DTL_5c","C2","asset_dtl_5c_r2c3","java.lang.Double","General"
"ASSET_DTL_5c","C3","contents_b59","java.lang.Double","General"
"ASSET_DTL_5c","C4","contents_e_3","java.lang.Double","General"
"ASSET_DTL_5c","C6","contents_e_4","java.lang.Double","General"
"ASSET_DTL_5c","C13","receivables_owed_from","java.lang.String","@"
"ASSET_DTL_5c","D13","reason","java.lang.String","@"
"ASSET_DTL_5c","E13","prior_amount","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F13","current_amount","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C14","receivables_owed_from_2","java.lang.String","@"
"ASSET_DTL_5c","D14","reason_2","java.lang.String","@"
"ASSET_DTL_5c","E14","prior_amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F14","current_amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C15","receivables_owed_from_3","java.lang.String","@"
"ASSET_DTL_5c","D15","reason_3","java.lang.String","@"
"ASSET_DTL_5c","E15","prior_amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F15","current_amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C16","receivables_owed_from_4","java.lang.String","@"
"ASSET_DTL_5c","D16","reason_4","java.lang.String","@"
"ASSET_DTL_5c","E16","prior_amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F16","current_amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C17","receivables_owed_from_5","java.lang.String","@"
"ASSET_DTL_5c","D17","reason_5","java.lang.String","@"
"ASSET_DTL_5c","E17","prior_amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F17","current_amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C18","receivables_owed_from_6","java.lang.String","@"
"ASSET_DTL_5c","D18","reason_6","java.lang.String","@"
"ASSET_DTL_5c","E18","prior_amount_6","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F18","current_amount_6","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C19","receivables_owed_from_7","java.lang.String","@"
"ASSET_DTL_5c","D19","reason_7","java.lang.String","@"
"ASSET_DTL_5c","E19","prior_amount_7","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F19","current_amount_7","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C20","receivables_owed_from_8","java.lang.String","@"
"ASSET_DTL_5c","D20","reason_8","java.lang.String","@"
"ASSET_DTL_5c","E20","prior_amount_8","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F20","current_amount_8","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C21","receivables_owed_from_9","java.lang.String","@"
"ASSET_DTL_5c","D21","reason_9","java.lang.String","@"
"ASSET_DTL_5c","E21","prior_amount_9","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F21","current_amount_9","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C22","receivables_owed_from_10","java.lang.String","@"
"ASSET_DTL_5c","D22","reason_10","java.lang.String","@"
"ASSET_DTL_5c","E22","prior_amount_10","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F22","current_amount_10","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C23","receivables_owed_from_11","java.lang.String","@"
"ASSET_DTL_5c","D23","reason_11","java.lang.String","@"
"ASSET_DTL_5c","E23","prior_amount_11","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F23","current_amount_11","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C24","receivables_owed_from_12","java.lang.String","@"
"ASSET_DTL_5c","D24","reason_12","java.lang.String","@"
"ASSET_DTL_5c","E24","prior_amount_12","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F24","current_amount_12","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C25","receivables_owed_from_13","java.lang.String","@"
"ASSET_DTL_5c","D25","reason_13","java.lang.String","@"
"ASSET_DTL_5c","E25","prior_amount_13","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F25","current_amount_13","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C26","receivables_owed_from_14","java.lang.String","@"
"ASSET_DTL_5c","D26","reason_14","java.lang.String","@"
"ASSET_DTL_5c","E26","prior_amount_14","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F26","current_amount_14","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C27","receivables_owed_from_15","java.lang.String","@"
"ASSET_DTL_5c","D27","reason_15","java.lang.String","@"
"ASSET_DTL_5c","E27","prior_amount_15","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F27","current_amount_15","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C28","receivables_owed_from_16","java.lang.String","@"
"ASSET_DTL_5c","D28","reason_16","java.lang.String","@"
"ASSET_DTL_5c","E28","prior_amount_16","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F28","current_amount_16","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C29","receivables_owed_from_17","java.lang.String","@"
"ASSET_DTL_5c","D29","reason_17","java.lang.String","@"
"ASSET_DTL_5c","E29","prior_amount_17","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F29","current_amount_17","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C30","receivables_owed_from_18","java.lang.String","@"
"ASSET_DTL_5c","D30","reason_18","java.lang.String","@"
"ASSET_DTL_5c","E30","prior_amount_18","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F30","current_amount_18","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C31","receivables_owed_from_19","java.lang.String","@"
"ASSET_DTL_5c","D31","reason_19","java.lang.String","@"
"ASSET_DTL_5c","E31","prior_amount_19","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F31","current_amount_19","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C32","receivables_owed_from_20","java.lang.String","@"
"ASSET_DTL_5c","D32","reason_20","java.lang.String","@"
"ASSET_DTL_5c","E32","prior_amount_20","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F32","current_amount_20","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","E33","prior_amount_total","java.lang.Double","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F33","current_amount_sum_e13_e32","java.lang.Double","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C39","prepaid_expenses_description","java.lang.String","@"
"ASSET_DTL_5c","E39","prior_amount_21","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F39","current_amount_21","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C40","prepaid_expenses_description_2","java.lang.String","@"
"ASSET_DTL_5c","E40","prior_amount_22","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F40","current_amount_22","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C41","prepaid_expenses_description_3","java.lang.String","@"
"ASSET_DTL_5c","E41","prior_amount_23","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F41","current_amount_23","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C42","prepaid_expenses_description_4","java.lang.String","@"
"ASSET_DTL_5c","E42","prior_amount_24","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","F42","current_amount_24","java.lang.String","#,##0.00_);(#,##0.00)"
"ASSET_DTL_5c","C43","prepaid_expenses_description_5","java.lang.String","@"
