sheetName,cellRef,fieldName,javaType,excelFormat
"BALANCE_3","C2","balance_3_r2c3","java.lang.Double","General"
"BALANCE_3","C3","contents_b59","java.lang.Double","General"
"BALANCE_3","C4","contents_e_3","java.lang.Double","General"
"BALANCE_3","C7","contents_e_4","java.lang.Double","General"
"BALANCE_3","G17","balance_3_r17c7","java.lang.Double","General"
"BALANCE_3","H17","contents_c_14","java.lang.Double","General"
"BALANCE_3","G19","start_2_5a","java.lang.String","#,##0.00_);(#,##0.00)"
"BALANCE_3","H19","end_2_5a","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","I19","diff_if_primary_account_2a_f_38_yes_if_primary_account_2a_h_37_primary_account_2a_h_36_primary_account_2a_h_37_0_0_secondary_accounts_2b_i22_secondary_accounts_2c_i22_secondary_accounts_2d_i22_asset_dtl_5a_g19","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G20","start_2","java.lang.String","#,##0.00_);(#,##0.00)"
"BALANCE_3","H20","if_primary_account_2a_f_38_yes_if_primary_account_2a_h_37_primary_account_2a_h_36_primary_account_2a_h_37_0_0_secondary_accounts_2b_i22_secondary_accounts_2c_i22_secondary_accounts_2d_i22_asset_dtl_5a_g19_2","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","I20","h19_g19_if_primary_account_2a_f38_yes_if_primary_account_2a_h37_primary_account_2a_h36_primary_account_2a_h37_0_0_secondary_accounts_2b_i23_secondary_accounts_2c_i23_secondary_accounts_2d_i23","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G21","start_5a","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","H21","if_primary_account_2a_f38_yes_if_primary_account_2a_h37_primary_account_2a_h36_primary_account_2a_h37_0_0_secondary_accounts_2b_i23_secondary_accounts_2c_i23_secondary_accounts_2d_i23_asset_dtl_5a_f35_asset_dtl_5c_e33","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","I21","h20_g20_asset_dtl_5a_g35_asset_dtl_5c_f33","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G22","asset_dtl_5a_f35_asset_dtl_5c_e33_6","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","H22","asset_dtl_5a_g35_asset_dtl_5c_f33_inventory_dtl_6_m17_inventory_dtl_6b_m17","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","I22","h21_g21_inventory_dtl_6_m27_inventory_dtl_6b_m27","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G23","inventory_dtl_6_m17_inventory_dtl_6b_m17_7","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","H23","inventory_dtl_6_m27_inventory_dtl_6b_m27_regalia_sales_dtl_7_f32_regalia_sales_dtl_7b_f32","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","I23","h22_g22_regalia_sales_dtl_7_i32_regalia_sales_dtl_7b_i32","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G24","regalia_sales_dtl_7_f32_regalia_sales_dtl_7b_f32_8","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","H24","regalia_sales_dtl_7_i32_regalia_sales_dtl_7b_i32_depr_dtl_8_i47_depr_dtl_8b_i54_depr_dtl_8c_i54_regalia_sales_dtl_7_f49_regalia_sales_dtl_7_f50_regalia_sales_dtl_7_f51_regalia_sales_dtl_7b_f49_regalia_sales_dtl_7b_f50_regalia_sales_dtl_7b_f51","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","I24","h23_g23_depr_dtl_8_j47_depr_dtl_8b_j54_depr_dtl_8c_j54","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G25","depr_dtl_8_i47_depr_dtl_8b_i54_depr_dtl_8c_i54_regalia_sales_dtl_7_f49_regalia_sales_dtl_7_f50_regalia_sales_dtl_7_f51_regalia_sales_dtl_7b_f49_regalia_sales_dtl_7b_f50_regalia_sales_dtl_7b_f51_8","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","H25","depr_dtl_8_j47_depr_dtl_8b_j54_depr_dtl_8c_j54_1_depr_dtl_8_k47_depr_dtl_8b_k54_depr_dtl_8c_k54_regalia_sales_dtl_7_g49_regalia_sales_dtl_7_g50_regalia_sales_dtl_7_g51_regalia_sales_dtl_7b_g49_regalia_sales_dtl_7b_g50_regalia_sales_dtl_7b_g51","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","I25","h24_g24_depr_dtl_8_m47_1_depr_dtl_8b_m54_1_depr_dtl_8c_m54_1","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G26","_1_depr_dtl_8_k47_depr_dtl_8b_k54_depr_dtl_8c_k54_regalia_sales_dtl_7_g49_regalia_sales_dtl_7_g50_regalia_sales_dtl_7_g51_regalia_sales_dtl_7b_g49_regalia_sales_dtl_7b_g50_regalia_sales_dtl_7b_g51_5a","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","H26","depr_dtl_8_m47_1_depr_dtl_8b_m54_1_depr_dtl_8c_m54_1_asset_dtl_5a_f46_asset_dtl_5c_e44","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","I26","h25_g25_asset_dtl_5a_g46_asset_dtl_5c_f44","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G27","asset_dtl_5a_f46_asset_dtl_5c_e44_5a","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","H27","asset_dtl_5a_g46_asset_dtl_5c_f44_asset_dtl_5a_f60_asset_dtl_5c_e58","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","I27","h26_g26_asset_dtl_5a_g60_asset_dtl_5c_f58","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G28","asset_dtl_5a_f60_asset_dtl_5c_e58_add_a_through_f_subtract_g_then_add_h_and_i","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","H28","asset_dtl_5a_g60_asset_dtl_5c_f58_sum_g19_g27","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","I28","h27_g27_sum_h19_h27","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G31","sum_g19_g27_15","java.lang.String","#,##0.00_);(#,##0.00)"
"BALANCE_3","H31","sum_h19_h27_15","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","I31","sum_i19_i27_newsletter_15_e16","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G32","sum_g19_g27_5b","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","H32","newsletter_15_e16_liability_dtl_5b_e31_liability_dtl_5d_e29","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","I32","h31_g31_liability_dtl_5b_f31_liability_dtl_5d_f29","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G33","liability_dtl_5b_e31_liability_dtl_5d_e29_5b","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","H33","liability_dtl_5b_f31_liability_dtl_5d_f29_liability_dtl_5b_e44_liability_dtl_5d_e47","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","I33","h32_g32_liability_dtl_5b_f44_liability_dtl_5d_f47","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G34","liability_dtl_5b_e44_liability_dtl_5d_e47_5b","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","H34","liability_dtl_5b_f44_liability_dtl_5d_f47_liability_dtl_5b_e56_liability_dtl_5d_e56","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","I34","h33_g33_liability_dtl_5b_f56_liability_dtl_5d_f56","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G35","liability_dtl_5b_e56_liability_dtl_5d_e56_add_a_through_d","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","H35","liability_dtl_5b_f56_liability_dtl_5d_f56_sum_g31_g34","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","I35","h34_g34_sum_h31_h34","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G37","sum_g31_g34_line_i_i_minus_line_ii_d","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","H37","sum_h31_h34_round_g28_g35_2","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G38","round_g28_g35_2_a","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","G39","h37_g37_b","java.lang.Double","#,##0.00_);(#,##0.00)"
"BALANCE_3","D42","print_exchequer","java.lang.Double","General"
"BALANCE_3","D43","if_contents_c_10_contents_c_10_seneschal","java.lang.Double","General"
