sheetName,cellRef,fieldName,javaType,excelFormat
"Contents","E3","contents_r3c5","java.lang.Double","General"
"Contents","E6","financial_report_cells_in_blue_are_editable_all_other_cells_are_locked","java.lang.Double","General"
"Contents","H7","required","java.lang.Double","General"
"Contents","C8","name_of_branch","java.lang.String","@"
"Contents","F8","table_of_contents_1_contact_info","java.lang.Double","General"
"Contents","H8","g7_required","java.lang.Double","General"
"Contents","C9","seneschal_name","java.lang.String","General"
"Contents","F9","contact_information_if_isblank_datevalue_c_64_if_f_81_expired_signatory_if_g_81_expiring_signatory_2_a_primary_account","java.lang.Double","General"
"Contents","H9","g8_required","java.lang.Double","General"
"Contents","C10","exchequer_name","java.lang.String","General"
"Contents","F10","primary_account_reconciliation_if_isblank_datevalue_c_64_if_f_82_expired_signatory_if_g_82_expiring_signatory_2_b_secondary_accounts","java.lang.Double","General"
"Contents","G10","required_secondary_account_reconciliation_if_isblank_datevalue_c_64_if_f_83_expired_signatory_if_g_83_expiring_signatory","java.lang.Double","General"
"Contents","H10","g9_if_c_11_0_required_if_data_if_secondary_accounts_2b_d_19_0_no_data_required","java.lang.Double","General"
"Contents","C11","year_yyyy","java.lang.String","General"
"Contents","F11","secondary_account_reconciliation_if_isblank_datevalue_c_64_if_f_83_expired_signatory_if_g_83_expiring_signatory_3_balance","java.lang.Double","General"
"Contents","H11","g10_required","java.lang.Double","General"
"Contents","C12","quarter_1_2_3_4","java.lang.Double","General"
"Contents","H12","g11_required","java.lang.Double","General"
"Contents","G13","required_asset_detail","java.lang.Double","General"
"Contents","H13","g12_if_c_11_0_required_if_data_if_asset_dtl_5a_g_19_asset_dtl_5a_f_35_asset_dtl_5a_g_35_asset_dtl_5a_f_46_asset_dtl_5a_g_46_asset_dtl_5a_f_56_asset_dtl_5a_g_56_0_no_data_required","java.lang.Double","General"
"Contents","C14","cumulative_currency_type","java.lang.String","00000"
"Contents","G14","if_c_11_0_required_if_data_if_asset_dtl_5a_g_19_asset_dtl_5a_f_35_asset_dtl_5a_g_35_asset_dtl_5a_f_46_asset_dtl_5a_g_46_asset_dtl_5a_f_56_asset_dtl_5a_g_56_0_no_data_required_liability_detail","java.lang.Double","General"
"Contents","H14","g13_if_c_11_0_required_if_data_if_liability_dtl_5b_f_31_liability_dtl_5b_e_31_liability_dtl_5b_f_44_liability_dtl_5b_e_44_liability_dtl_5b_f_56_liability_dtl_5b_e_56_0_no_data_required","java.lang.Double","General"
"Contents","G15","if_c_11_0_required_if_data_if_liability_dtl_5b_f_31_liability_dtl_5b_e_31_liability_dtl_5b_f_44_liability_dtl_5b_e_44_liability_dtl_5b_f_56_liability_dtl_5b_e_56_0_no_data_required_inventory_detail","java.lang.Double","General"
