sheetName,cellRef,fieldName,javaType,excelFormat
"EXPENSE_DTL_12a","C2","expense_dtl_12a_r2c3","java.lang.Double","General"
"EXPENSE_DTL_12a","C3","contents_b59","java.lang.Double","General"
"EXPENSE_DTL_12a","C4","contents_e_3","java.lang.Double","General"
"EXPENSE_DTL_12a","C6","contents_e_4","java.lang.Double","General"
"EXPENSE_DTL_12a","D12","organization_or_periodical_not_a_kingdom_newsletter_and_date_ad_was_published","java.lang.String","@"
"EXPENSE_DTL_12a","E12","expense_dtl_12a_r12c5","java.lang.String","@"
"EXPENSE_DTL_12a","F12","amount","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12a","D13","organization_or_periodical_not_a_kingdom_newsletter_and_date_ad_was_published_2","java.lang.String","@"
"EXPENSE_DTL_12a","E13","expense_dtl_12a_r13c5","java.lang.String","@"
"EXPENSE_DTL_12a","F13","amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12a","D14","organization_or_periodical_not_a_kingdom_newsletter_and_date_ad_was_published_3","java.lang.String","@"
"EXPENSE_DTL_12a","E14","expense_dtl_12a_r14c5","java.lang.String","@"
"EXPENSE_DTL_12a","F14","amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12a","D15","organization_or_periodical_not_a_kingdom_newsletter_and_date_ad_was_published_4","java.lang.String","@"
"EXPENSE_DTL_12a","E15","expense_dtl_12a_r15c5","java.lang.String","@"
"EXPENSE_DTL_12a","F15","amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12a","D16","organization_or_periodical_not_a_kingdom_newsletter_and_date_ad_was_published_5","java.lang.String","@"
"EXPENSE_DTL_12a","E16","expense_dtl_12a_r16c5","java.lang.String","@"
"EXPENSE_DTL_12a","F16","amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12a","D17","organization_or_periodical_not_a_kingdom_newsletter_and_date_ad_was_published_6","java.lang.String","@"
"EXPENSE_DTL_12a","E17","expense_dtl_12a_r17c5","java.lang.String","@"
"EXPENSE_DTL_12a","F17","amount_6","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12a","D18","organization_or_periodical_not_a_kingdom_newsletter_and_date_ad_was_published_7","java.lang.String","@"
"EXPENSE_DTL_12a","E18","expense_dtl_12a_r18c5","java.lang.String","@"
"EXPENSE_DTL_12a","F18","amount_7","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12a","D19","organization_or_periodical_not_a_kingdom_newsletter_and_date_ad_was_published_8","java.lang.String","@"
"EXPENSE_DTL_12a","E19","expense_dtl_12a_r19c5","java.lang.String","@"
"EXPENSE_DTL_12a","F19","amount_8","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12a","D20","organization_or_periodical_not_a_kingdom_newsletter_and_date_ad_was_published_9","java.lang.String","@"
"EXPENSE_DTL_12a","E20","expense_dtl_12a_r20c5","java.lang.String","@"
"EXPENSE_DTL_12a","F20","amount_9","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12a","D21","organization_or_periodical_not_a_kingdom_newsletter_and_date_ad_was_published_10","java.lang.String","@"
"EXPENSE_DTL_12a","E21","expense_dtl_12a_r21c5","java.lang.String","@"
"EXPENSE_DTL_12a","F21","amount_10","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12a","D22","organization_or_periodical_not_a_kingdom_newsletter_and_date_ad_was_published_11","java.lang.String","@"
"EXPENSE_DTL_12a","E22","expense_dtl_12a_r22c5","java.lang.String","@"
"EXPENSE_DTL_12a","F22","amount_11","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12a","F23","amount_show_total_on_pg_4_line_12","java.lang.Double","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12a","C27","oa_ar_or_fr","java.lang.String","General"
"EXPENSE_DTL_12a","D27","organization_or_person","java.lang.String","@"
"EXPENSE_DTL_12a","E27","reason","java.lang.String","@"
"EXPENSE_DTL_12a","F27","amount_12","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12a","C28","oa_ar_or_fr_2","java.lang.String","General"
"EXPENSE_DTL_12a","D28","organization_or_person_2","java.lang.String","@"
"EXPENSE_DTL_12a","E28","reason_2","java.lang.String","@"
"EXPENSE_DTL_12a","F28","amount_13","java.lang.String","#,##0.00_);(#,##0.00)"
