sheetName,cellRef,fieldName,javaType,excelFormat
"EXPENSE_DTL_12b","C2","expense_dtl_12b_r2c3","java.lang.Double","General"
"EXPENSE_DTL_12b","B3","expense_dtl_12b_r3c2","java.lang.Double","General"
"EXPENSE_DTL_12b","B4","contents_e_3","java.lang.Double","General"
"EXPENSE_DTL_12b","B6","contents_e_4","java.lang.Double","General"
"EXPENSE_DTL_12b","D12","organization_or_person_ar","java.lang.String","@"
"EXPENSE_DTL_12b","E12","ar","java.lang.String","@"
"EXPENSE_DTL_12b","F12","ar_2","java.lang.String","@"
"EXPENSE_DTL_12b","G12","check_ar","java.lang.String","@"
"EXPENSE_DTL_12b","H12","check_date_ar","java.lang.String","@"
"EXPENSE_DTL_12b","I12","amount_ar","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12b","D13","organization_or_person_ar_2","java.lang.String","@"
"EXPENSE_DTL_12b","E13","ar_3","java.lang.String","@"
"EXPENSE_DTL_12b","F13","ar_4","java.lang.String","@"
"EXPENSE_DTL_12b","G13","check_ar_2","java.lang.String","@"
"EXPENSE_DTL_12b","H13","check_date_ar_2","java.lang.String","@"
"EXPENSE_DTL_12b","I13","amount_ar_2","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12b","D14","organization_or_person_ar_3","java.lang.String","@"
"EXPENSE_DTL_12b","E14","ar_5","java.lang.String","@"
"EXPENSE_DTL_12b","F14","ar_6","java.lang.String","@"
"EXPENSE_DTL_12b","G14","check_ar_3","java.lang.String","@"
"EXPENSE_DTL_12b","H14","check_date_ar_3","java.lang.String","@"
"EXPENSE_DTL_12b","I14","amount_ar_3","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12b","D15","organization_or_person_ar_4","java.lang.String","@"
"EXPENSE_DTL_12b","E15","ar_7","java.lang.String","@"
"EXPENSE_DTL_12b","F15","ar_8","java.lang.String","@"
"EXPENSE_DTL_12b","G15","check_ar_4","java.lang.String","@"
"EXPENSE_DTL_12b","H15","check_date_ar_4","java.lang.String","@"
"EXPENSE_DTL_12b","I15","amount_ar_4","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12b","I16","amount_show_total_on_pg_4_line_20","java.lang.Double","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12b","C18","ar_9","java.lang.String","General"
"EXPENSE_DTL_12b","D18","organization_or_person_contact_your_kingdom_exchequer_before_using_this_section","java.lang.String","General"
"EXPENSE_DTL_12b","E18","contact_your_kingdom_exchequer_before_using_this_section","java.lang.String","General"
"EXPENSE_DTL_12b","F18","contact_your_kingdom_exchequer_before_using_this_section_2","java.lang.String","General"
"EXPENSE_DTL_12b","G18","check_contact_your_kingdom_exchequer_before_using_this_section","java.lang.String","General"
"EXPENSE_DTL_12b","H18","show_total_on_pg_4_line_20_contact_your_kingdom_exchequer_before_using_this_section","java.lang.String","General"
"EXPENSE_DTL_12b","I18","sum_i12_i15_contact_your_kingdom_exchequer_before_using_this_section","java.lang.String","General"
"EXPENSE_DTL_12b","C21","reason","java.lang.String","@"
"EXPENSE_DTL_12b","D21","organization_or_person","java.lang.String","@"
"EXPENSE_DTL_12b","E21","expense_dtl_12b_r21c5","java.lang.String","@"
"EXPENSE_DTL_12b","F21","expense_dtl_12b_r21c6","java.lang.String","@"
"EXPENSE_DTL_12b","G21","check","java.lang.String","@"
"EXPENSE_DTL_12b","H21","paid_to","java.lang.String","@"
"EXPENSE_DTL_12b","I21","amount","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12b","C22","reason_2","java.lang.String","@"
"EXPENSE_DTL_12b","D22","organization_or_person_2","java.lang.String","@"
"EXPENSE_DTL_12b","E22","expense_dtl_12b_r22c5","java.lang.String","@"
"EXPENSE_DTL_12b","F22","expense_dtl_12b_r22c6","java.lang.String","@"
"EXPENSE_DTL_12b","G22","check_2","java.lang.String","@"
"EXPENSE_DTL_12b","H22","paid_to_2","java.lang.String","@"
"EXPENSE_DTL_12b","I22","amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12b","C23","reason_3","java.lang.String","@"
"EXPENSE_DTL_12b","D23","organization_or_person_3","java.lang.String","@"
"EXPENSE_DTL_12b","E23","expense_dtl_12b_r23c5","java.lang.String","@"
"EXPENSE_DTL_12b","F23","expense_dtl_12b_r23c6","java.lang.String","@"
"EXPENSE_DTL_12b","G23","check_3","java.lang.String","@"
"EXPENSE_DTL_12b","H23","paid_to_3","java.lang.String","@"
"EXPENSE_DTL_12b","I23","amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12b","C24","reason_4","java.lang.String","@"
"EXPENSE_DTL_12b","D24","organization_or_person_4","java.lang.String","@"
"EXPENSE_DTL_12b","E24","expense_dtl_12b_r24c5","java.lang.String","@"
"EXPENSE_DTL_12b","F24","expense_dtl_12b_r24c6","java.lang.String","@"
"EXPENSE_DTL_12b","G24","check_4","java.lang.String","@"
"EXPENSE_DTL_12b","H24","paid_to_4","java.lang.String","@"
"EXPENSE_DTL_12b","I24","amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12b","C25","reason_5","java.lang.String","@"
"EXPENSE_DTL_12b","D25","organization_or_person_5","java.lang.String","@"
"EXPENSE_DTL_12b","E25","expense_dtl_12b_r25c5","java.lang.String","@"
"EXPENSE_DTL_12b","F25","expense_dtl_12b_r25c6","java.lang.String","@"
"EXPENSE_DTL_12b","G25","check_5","java.lang.String","@"
"EXPENSE_DTL_12b","H25","paid_to_5","java.lang.String","@"
"EXPENSE_DTL_12b","I25","amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12b","C26","reason_6","java.lang.String","@"
"EXPENSE_DTL_12b","D26","organization_or_person_6","java.lang.String","@"
"EXPENSE_DTL_12b","E26","expense_dtl_12b_r26c5","java.lang.String","@"
"EXPENSE_DTL_12b","F26","expense_dtl_12b_r26c6","java.lang.String","@"
"EXPENSE_DTL_12b","G26","check_6","java.lang.String","@"
"EXPENSE_DTL_12b","H26","paid_to_6","java.lang.String","@"
"EXPENSE_DTL_12b","I26","amount_6","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12b","I27","amount_show_total_on_pg_4_line_28","java.lang.Double","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12b","C31","_501_c_3_nonprofit_organizations_organization_name","java.lang.String","@"
"EXPENSE_DTL_12b","D31","organization_or_person_7","java.lang.String","@"
"EXPENSE_DTL_12b","E31","reason_7","java.lang.String","@"
"EXPENSE_DTL_12b","F31","check_7","java.lang.String","@"
"EXPENSE_DTL_12b","G31","check_date","java.lang.String","@"
"EXPENSE_DTL_12b","H31","fed_id_number","java.lang.String","@"
"EXPENSE_DTL_12b","I31","amount_7","java.lang.String","#,##0.00_);(#,##0.00)"
"EXPENSE_DTL_12b","C32","_501_c_3_nonprofit_organizations_organization_name_2","java.lang.String","@"
"EXPENSE_DTL_12b","D32","organization_or_person_8","java.lang.String","@"
"EXPENSE_DTL_12b","E32","reason_8","java.lang.String","@"
"EXPENSE_DTL_12b","F32","check_8","java.lang.String","@"
"EXPENSE_DTL_12b","G32","check_date_2","java.lang.String","@"
"EXPENSE_DTL_12b","H32","fed_id_number_2","java.lang.String","@"
