sheetName,cellRef,fieldName,javaType,excelFormat
"FINANCE_COMM_13","C2","finance_comm_13_r2c3","java.lang.Double","General"
"FINANCE_COMM_13","C3","contents_b59","java.lang.Double","General"
"FINANCE_COMM_13","C4","contents_e_3","java.lang.Double","General"
"FINANCE_COMM_13","C6","contents_e_4","java.lang.Double","General"
"FINANCE_COMM_13","C11","mark_only_one","java.lang.String","General"
"FINANCE_COMM_13","C12","mark_only_one_2","java.lang.String","General"
"FINANCE_COMM_13","C13","mark_only_one_3","java.lang.String","General"
"FINANCE_COMM_13","D17","sca_name_seneschal","java.lang.Double","General"
"FINANCE_COMM_13","E17","number_if_contents_c_9_contents_c_9","java.lang.String","0"
"FINANCE_COMM_13","F17","mm_yyyy_if_contents_c_9_contents_c_9","java.lang.String","mmm/yyyy"
"FINANCE_COMM_13","D18","if_contents_c_9_contents_c_9","java.lang.String","@"
"FINANCE_COMM_13","E18","number","java.lang.String","0"
"FINANCE_COMM_13","F18","mm_yyyy","java.lang.String","mmm/yyyy"
"FINANCE_COMM_13","D19","if_contents_c_9_contents_c_9_exchequer","java.lang.Double","General"
"FINANCE_COMM_13","E19","number_if_contents_c_10_contents_c_10","java.lang.Double","0"
"FINANCE_COMM_13","F19","mm_yyyy_if_isblank_contact_info_1_h15_contact_info_1_h15","java.lang.Double","mmm/yyyy"
"FINANCE_COMM_13","D20","if_contents_c_10_contents_c_10","java.lang.Double","General"
"FINANCE_COMM_13","C21","exchequer","java.lang.String","@"
"FINANCE_COMM_13","D21","if_isblank_contact_info_1_d16_contact_info_1_d16","java.lang.String","@"
"FINANCE_COMM_13","E21","if_isblank_contact_info_1_h15_contact_info_1_h15","java.lang.String","0"
"FINANCE_COMM_13","F21","if_isblank_contact_info_1_h16_contact_info_1_h16","java.lang.String","mmm/yyyy"
"FINANCE_COMM_13","C22","exchequer_2","java.lang.String","@"
"FINANCE_COMM_13","D22","if_isblank_contact_info_1_d16_contact_info_1_d16_2","java.lang.String","@"
"FINANCE_COMM_13","E22","if_isblank_contact_info_1_h15_contact_info_1_h15_2","java.lang.String","0"
"FINANCE_COMM_13","F22","if_isblank_contact_info_1_h16_contact_info_1_h16_2","java.lang.String","mmm/yyyy"
"FINANCE_COMM_13","C23","exchequer_3","java.lang.String","@"
"FINANCE_COMM_13","D23","if_isblank_contact_info_1_d16_contact_info_1_d16_3","java.lang.String","@"
"FINANCE_COMM_13","E23","if_isblank_contact_info_1_h15_contact_info_1_h15_3","java.lang.String","0"
"FINANCE_COMM_13","F23","if_isblank_contact_info_1_h16_contact_info_1_h16_3","java.lang.String","mmm/yyyy"
"FINANCE_COMM_13","C24","exchequer_4","java.lang.String","@"
