sheetName,cellRef,fieldName,javaType,excelFormat
"FUNDS_14","C2","funds_14_r2c3","java.lang.Double","General"
"FUNDS_14","C3","contents_b59","java.lang.Double","General"
"FUNDS_14","C4","contents_e_3","java.lang.Double","General"
"FUNDS_14","D6","funds_14_r6c4","java.lang.Double","General"
"FUNDS_14","F11","total_of_lines_i_a_end_and_i_b_end_on_the_comparative_balance_sheet_cash","java.lang.Double","#,##0.00_);(#,##0.00)"
"FUNDS_14","F14","end_of_period_all_non_dedicated_funds","java.lang.String","#,##0.00_);(#,##0.00)"
"FUNDS_14","D15","general_fund_2_0","java.lang.String","@"
"FUNDS_14","E15","all_non_dedicated_funds_2_0","java.lang.String","@"
"FUNDS_14","F15","end_of_period_2_0","java.lang.String","#,##0.00_);(#,##0.00)"
"FUNDS_14","D16","general_fund_3_0","java.lang.String","@"
"FUNDS_14","E16","all_non_dedicated_funds_3_0","java.lang.String","@"
"FUNDS_14","F16","end_of_period_3_0","java.lang.String","#,##0.00_);(#,##0.00)"
"FUNDS_14","D17","general_fund_4_0","java.lang.String","@"
"FUNDS_14","E17","all_non_dedicated_funds_4_0","java.lang.String","@"
"FUNDS_14","F17","end_of_period_4_0","java.lang.String","#,##0.00_);(#,##0.00)"
"FUNDS_14","D18","general_fund_5_0","java.lang.String","@"
"FUNDS_14","E18","all_non_dedicated_funds_5_0","java.lang.String","@"
"FUNDS_14","F18","end_of_period_5_0","java.lang.String","#,##0.00_);(#,##0.00)"
"FUNDS_14","D19","general_fund_6_0","java.lang.String","@"
"FUNDS_14","E19","all_non_dedicated_funds_6_0","java.lang.String","@"
"FUNDS_14","F19","end_of_period_6_0","java.lang.String","#,##0.00_);(#,##0.00)"
"FUNDS_14","D20","general_fund_7_0","java.lang.String","@"
"FUNDS_14","E20","all_non_dedicated_funds_7_0","java.lang.String","@"
"FUNDS_14","F20","end_of_period_7_0","java.lang.String","#,##0.00_);(#,##0.00)"
"FUNDS_14","D21","general_fund_8_0","java.lang.String","@"
"FUNDS_14","E21","all_non_dedicated_funds_8_0","java.lang.String","@"
"FUNDS_14","F21","end_of_period_8_0","java.lang.String","#,##0.00_);(#,##0.00)"
"FUNDS_14","D22","general_fund_9_0","java.lang.String","@"
"FUNDS_14","E22","all_non_dedicated_funds_9_0","java.lang.String","@"
"FUNDS_14","F22","end_of_period_9_0","java.lang.String","#,##0.00_);(#,##0.00)"
"FUNDS_14","D23","general_fund_10_0","java.lang.String","@"
"FUNDS_14","E23","all_non_dedicated_funds_10_0","java.lang.String","@"
"FUNDS_14","F23","end_of_period_10_0","java.lang.String","#,##0.00_);(#,##0.00)"
"FUNDS_14","D24","general_fund_11_0","java.lang.String","@"
"FUNDS_14","E24","all_non_dedicated_funds_11_0","java.lang.String","@"
"FUNDS_14","F24","end_of_period_11_0","java.lang.String","#,##0.00_);(#,##0.00)"
"FUNDS_14","D25","general_fund_12_0","java.lang.String","@"
"FUNDS_14","E25","all_non_dedicated_funds_12_0","java.lang.String","@"
"FUNDS_14","F25","end_of_period_12_0","java.lang.String","#,##0.00_);(#,##0.00)"
"FUNDS_14","D26","general_fund_13_0","java.lang.String","@"
