sheetName,cellRef,fieldName,javaType,excelFormat
"INCOME_4","C2","income_4_r2c3","java.lang.Double","General"
"INCOME_4","C3","contents_b59","java.lang.Double","General"
"INCOME_4","C4","contents_e_3","java.lang.Double","General"
"INCOME_4","C6","contents_e_4","java.lang.Double","General"
"INCOME_4","J9","income_4_r9c10","java.lang.Double","General"
"INCOME_4","J11","amount_internal","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J12","income_dtl_11a_e20_external","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J13","income_dtl_11a_e30_11a","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J14","income_dtl_11a_e36_income_from_demos_and_activity_fees","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J15","income_dtl_11a_e52_adjusted_gross_event_income","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J16","income_dtl_11b_g37_within_kingdom","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J17","transfer_in_9_f38_transfer_in_9b_f32_transfer_in_9c_f32_transfer_in_9d_f55_outside_kingdom","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J18","transfer_in_9_f58_transfer_in_9b_f54_transfer_in_9c_f54_interest_earned","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","H19","gross_gross_cost_net","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","I19","cost_inventory_dtl_6_m30_inventory_dtl_6b_m30","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J19","transfer_in_9_f58_transfer_in_9b_f54_transfer_in_9c_f54_inventory_dtl_6_m29_inventory_dtl_6b_m29","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J20","h19_i19_7","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J21","regalia_sales_dtl_7_i53_regalia_sales_dtl_7b_i53_15","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","H22","inventory_dtl_6_m30_inventory_dtl_6b_m30_gross_cost_net","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","I22","inventory_dtl_6_m29_inventory_dtl_6b_m29_income_dtl_11b_e43","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J22","newsletter_15_e17_income_dtl_11b_f43","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J23","h22_i22_11b","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J24","income_dtl_11b_g56_sum_of_lines_1_through_9","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","H27","activity_related_12a","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J27","total_sumif_expense_dtl_12a_c12_c22_ar_expense_dtl_12a_f12_f22","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","G28","office_admin_12a","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","H28","sumif_expense_dtl_12a_c12_c22_ar_expense_dtl_12a_f12_f22_sumif_expense_dtl_12a_c27_c38_oa_expense_dtl_12a_f27_f38","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","I28","fund_raising_sumif_expense_dtl_12a_c27_c38_ar_expense_dtl_12a_f27_f38","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J28","sum_g27_i27_sumif_expense_dtl_12a_c27_c38_fr_expense_dtl_12a_f27_f38","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","G29","sumif_expense_dtl_12a_c27_c38_oa_expense_dtl_12a_f27_f38_bank_service_charges","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","H29","sumif_expense_dtl_12a_c27_c38_ar_expense_dtl_12a_f27_f38_bank_service_charges","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","I29","sumif_expense_dtl_12a_c27_c38_fr_expense_dtl_12a_f27_f38_bank_service_charges","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","J29","sum_g28_i28_bank_service_charges","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","G30","sumif_expense_dtl_12a_c27_c38_oa_expense_dtl_12a_f27_f38_8","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","H30","sumif_expense_dtl_12a_c27_c38_ar_expense_dtl_12a_f27_f38_sumif_depr_dtl_8_d14_d23_oa_depr_dtl_8_l14_l23_sumif_depr_dtl_8_d32_d41_oa_depr_dtl_8_l32_l41_sumif_depr_dtl_8b_d14_d53_oa_depr_dtl_8b_l14_l53","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","I30","sumif_expense_dtl_12a_c27_c38_fr_expense_dtl_12a_f27_f38_sumif_depr_dtl_8_d14_d23_ar_depr_dtl_8_l14_l23_sumif_depr_dtl_8_d32_d41_ar_depr_dtl_8_l32_l41_sumif_depr_dtl_8b_d14_d53_ar_depr_dtl_8b_l14_l53_sumif_depr_dtl_8c_d14_d53_ar_depr_dtl_8c_l14_l53","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J30","sum_g29_i29_sumif_depr_dtl_8_d14_d23_fr_depr_dtl_8_l14_l23_sumif_depr_dtl_8_d32_d41_fr_depr_dtl_8_l32_l41_sumif_depr_dtl_8b_d14_d53_fr_depr_dtl_8b_l14_l53","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","G31","sumif_depr_dtl_8_d14_d23_oa_depr_dtl_8_l14_l23_sumif_depr_dtl_8_d32_d41_oa_depr_dtl_8_l32_l41_sumif_depr_dtl_8b_d14_d53_oa_depr_dtl_8b_l14_l53_equipment_rental_maintenance","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","H31","sumif_depr_dtl_8_d14_d23_ar_depr_dtl_8_l14_l23_sumif_depr_dtl_8_d32_d41_ar_depr_dtl_8_l32_l41_sumif_depr_dtl_8b_d14_d53_ar_depr_dtl_8b_l14_l53_sumif_depr_dtl_8c_d14_d53_ar_depr_dtl_8c_l14_l53_equipment_rental_maintenance","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","I31","sumif_depr_dtl_8_d14_d23_fr_depr_dtl_8_l14_l23_sumif_depr_dtl_8_d32_d41_fr_depr_dtl_8_l32_l41_sumif_depr_dtl_8b_d14_d53_fr_depr_dtl_8b_l14_l53_equipment_rental_maintenance","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","J31","sum_g30_i30_equipment_rental_maintenance","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","G32","sumif_depr_dtl_8_d14_d23_oa_depr_dtl_8_l14_l23_sumif_depr_dtl_8_d32_d41_oa_depr_dtl_8_l32_l41_sumif_depr_dtl_8b_d14_d53_oa_depr_dtl_8b_l14_l53_12a","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","H32","sumif_depr_dtl_8_d14_d23_ar_depr_dtl_8_l14_l23_sumif_depr_dtl_8_d32_d41_ar_depr_dtl_8_l32_l41_sumif_depr_dtl_8b_d14_d53_ar_depr_dtl_8b_l14_l53_sumif_depr_dtl_8c_d14_d53_ar_depr_dtl_8c_l14_l53_sumif_expense_dtl_12a_c43_c54_oa_expense_dtl_12a_f43_f54","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","I32","sumif_depr_dtl_8_d14_d23_fr_depr_dtl_8_l14_l23_sumif_depr_dtl_8_d32_d41_fr_depr_dtl_8_l32_l41_sumif_depr_dtl_8b_d14_d53_fr_depr_dtl_8b_l14_l53_sumif_expense_dtl_12a_c43_c54_ar_expense_dtl_12a_f43_f54","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J32","sum_g31_i31_sumif_expense_dtl_12a_c43_c54_fr_expense_dtl_12a_f43_f54","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","G33","sumif_expense_dtl_12a_c43_c54_oa_expense_dtl_12a_f43_f54_food","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","H33","sumif_expense_dtl_12a_c43_c54_ar_expense_dtl_12a_f43_f54_food","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","I33","sumif_expense_dtl_12a_c43_c54_fr_expense_dtl_12a_f43_f54_food","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","J33","sum_g32_i32_food","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","G34","sumif_expense_dtl_12a_c43_c54_oa_expense_dtl_12a_f43_f54_general_supplies","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","H34","sumif_expense_dtl_12a_c43_c54_ar_expense_dtl_12a_f43_f54_general_supplies","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","I34","sumif_expense_dtl_12a_c43_c54_fr_expense_dtl_12a_f43_f54_general_supplies","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","J34","sum_g33_i33_general_supplies","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","H35","sumif_expense_dtl_12a_c43_c54_ar_expense_dtl_12a_f43_f54_0_0","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","J35","sum_g34_i34_0_0","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","G36","_0_0_occupancy_site_charges","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","H36","expense_dtl_12b_i16_occupancy_site_charges","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","I36","_0_0_occupancy_site_charges_2","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","J36","sum_g35_i35_occupancy_site_charges","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","G37","_0_0_postage_shipping_po_box_rental","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","H37","expense_dtl_12b_i16_postage_shipping_po_box_rental","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","I37","_0_0_postage_shipping_po_box_rental_2","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","J37","sum_g36_i36_postage_shipping_po_box_rental","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_4","G38","_0_0_printing_publications","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","H38","expense_dtl_12b_i16_printing_publications","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_4","I38","_0_0_printing_publications_2","java.lang.String","#,##0.00_);(#,##0.00)"
