sheetName,cellRef,fieldName,javaType,excelFormat
"INCOME_DTL_11a","C2","income_dtl_11a_r2c3","java.lang.Double","General"
"INCOME_DTL_11a","C3","contents_b59","java.lang.Double","General"
"INCOME_DTL_11a","C4","contents_e_3","java.lang.Double","General"
"INCOME_DTL_11a","C6","contents_e_4","java.lang.Double","General"
"INCOME_DTL_11a","C11","_1a_fundraising_income_internal_event","java.lang.String","@"
"INCOME_DTL_11a","D11","activity_at_the_event","java.lang.String","@"
"INCOME_DTL_11a","E11","amount","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11a","C12","_1a_fundraising_income_internal_event_2","java.lang.String","@"
"INCOME_DTL_11a","D12","activity_at_the_event_2","java.lang.String","@"
"INCOME_DTL_11a","E12","amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11a","C13","_1a_fundraising_income_internal_event_3","java.lang.String","@"
"INCOME_DTL_11a","D13","activity_at_the_event_3","java.lang.String","@"
"INCOME_DTL_11a","E13","amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11a","C14","_1a_fundraising_income_internal_event_4","java.lang.String","@"
"INCOME_DTL_11a","D14","activity_at_the_event_4","java.lang.String","@"
"INCOME_DTL_11a","E14","amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11a","C15","_1a_fundraising_income_internal_event_5","java.lang.String","@"
"INCOME_DTL_11a","D15","activity_at_the_event_5","java.lang.String","@"
"INCOME_DTL_11a","E15","amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11a","C16","_1a_fundraising_income_internal_event_6","java.lang.String","@"
"INCOME_DTL_11a","D16","activity_at_the_event_6","java.lang.String","@"
"INCOME_DTL_11a","E16","amount_6","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11a","C17","_1a_fundraising_income_internal_event_7","java.lang.String","@"
"INCOME_DTL_11a","D17","activity_at_the_event_7","java.lang.String","@"
"INCOME_DTL_11a","E17","amount_7","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11a","C18","_1a_fundraising_income_internal_event_8","java.lang.String","@"
"INCOME_DTL_11a","D18","activity_at_the_event_8","java.lang.String","@"
"INCOME_DTL_11a","E18","amount_8","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11a","C19","_1a_fundraising_income_internal_event_9","java.lang.String","@"
"INCOME_DTL_11a","D19","activity_at_the_event_9","java.lang.String","@"
