sheetName,cellRef,fieldName,javaType,excelFormat
"INCOME_DTL_11b","C2","income_dtl_11b_r2c3","java.lang.Double","General"
"INCOME_DTL_11b","C3","contents_b59","java.lang.Double","General"
"INCOME_DTL_11b","C4","contents_e_3","java.lang.Double","General"
"INCOME_DTL_11b","C6","contents_e_4","java.lang.Double","General"
"INCOME_DTL_11b","C9","income_detail_part_2","java.lang.String","General"
"INCOME_DTL_11b","D9","do_not_include_cash_box_start_up_money_in_event_income","java.lang.String","General"
"INCOME_DTL_11b","E9","do_not_include_cash_box_start_up_money_in_event_income_2","java.lang.String","General"
"INCOME_DTL_11b","F9","do_not_include_cash_box_start_up_money_in_event_income_3","java.lang.String","General"
"INCOME_DTL_11b","C12","event_name","java.lang.String","@"
"INCOME_DTL_11b","D12","income_dtl_11b_r12c4","java.lang.String","@"
"INCOME_DTL_11b","E12","a_gross_gate_income_nmr","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F12","b_total_refunds","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G12","a_b_adj_gross_income","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C13","event_name_2","java.lang.String","@"
"INCOME_DTL_11b","D13","income_dtl_11b_r13c4","java.lang.String","@"
"INCOME_DTL_11b","E13","a_gross_gate_income_nmr_2","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F13","b_total_refunds_2","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G13","e12_f12","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C14","event_name_3","java.lang.String","@"
"INCOME_DTL_11b","D14","income_dtl_11b_r14c4","java.lang.String","@"
"INCOME_DTL_11b","E14","a_gross_gate_income_nmr_3","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F14","b_total_refunds_3","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G14","e13_f13","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C15","event_name_4","java.lang.String","@"
"INCOME_DTL_11b","D15","income_dtl_11b_r15c4","java.lang.String","@"
"INCOME_DTL_11b","E15","a_gross_gate_income_nmr_4","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F15","b_total_refunds_4","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G15","e14_f14","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C16","event_name_5","java.lang.String","@"
"INCOME_DTL_11b","D16","income_dtl_11b_r16c4","java.lang.String","@"
"INCOME_DTL_11b","E16","a_gross_gate_income_nmr_5","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F16","b_total_refunds_5","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G16","e15_f15","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C17","event_name_6","java.lang.String","@"
"INCOME_DTL_11b","D17","income_dtl_11b_r17c4","java.lang.String","@"
"INCOME_DTL_11b","E17","a_gross_gate_income_nmr_6","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F17","b_total_refunds_6","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G17","e16_f16","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C18","event_name_7","java.lang.String","@"
"INCOME_DTL_11b","D18","income_dtl_11b_r18c4","java.lang.String","@"
"INCOME_DTL_11b","E18","a_gross_gate_income_nmr_7","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F18","b_total_refunds_7","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G18","e17_f17","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C19","event_name_8","java.lang.String","@"
"INCOME_DTL_11b","D19","income_dtl_11b_r19c4","java.lang.String","@"
"INCOME_DTL_11b","E19","a_gross_gate_income_nmr_8","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F19","b_total_refunds_8","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G19","e18_f18","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C20","event_name_9","java.lang.String","@"
"INCOME_DTL_11b","D20","income_dtl_11b_r20c4","java.lang.String","@"
"INCOME_DTL_11b","E20","a_gross_gate_income_nmr_9","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F20","b_total_refunds_9","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G20","e19_f19","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C21","event_name_10","java.lang.String","@"
"INCOME_DTL_11b","D21","income_dtl_11b_r21c4","java.lang.String","@"
"INCOME_DTL_11b","E21","a_gross_gate_income_nmr_10","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F21","b_total_refunds_10","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G21","e20_f20","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C22","event_name_11","java.lang.String","@"
"INCOME_DTL_11b","D22","income_dtl_11b_r22c4","java.lang.String","@"
"INCOME_DTL_11b","E22","a_gross_gate_income_nmr_11","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F22","b_total_refunds_11","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G22","e21_f21","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C23","event_name_12","java.lang.String","@"
"INCOME_DTL_11b","D23","income_dtl_11b_r23c4","java.lang.String","@"
"INCOME_DTL_11b","E23","a_gross_gate_income_nmr_12","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F23","b_total_refunds_12","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G23","e22_f22","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C24","event_name_13","java.lang.String","@"
"INCOME_DTL_11b","D24","income_dtl_11b_r24c4","java.lang.String","@"
"INCOME_DTL_11b","E24","a_gross_gate_income_nmr_13","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F24","b_total_refunds_13","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G24","e23_f23","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C25","event_name_14","java.lang.String","@"
"INCOME_DTL_11b","D25","income_dtl_11b_r25c4","java.lang.String","@"
"INCOME_DTL_11b","E25","a_gross_gate_income_nmr_14","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F25","b_total_refunds_14","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G25","e24_f24","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C26","event_name_15","java.lang.String","@"
"INCOME_DTL_11b","D26","income_dtl_11b_r26c4","java.lang.String","@"
"INCOME_DTL_11b","E26","a_gross_gate_income_nmr_15","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F26","b_total_refunds_15","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G26","e25_f25","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G27","e26_f26_total_a","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C29","paypal_scars_income_event_name","java.lang.String","@"
"INCOME_DTL_11b","D29","paypal_scars","java.lang.String","@"
"INCOME_DTL_11b","E29","gross","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F29","transaction_fees","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G29","actual_amount_received","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C30","paypal_scars_income_event_name_2","java.lang.String","@"
"INCOME_DTL_11b","D30","paypal_scars_2","java.lang.String","@"
"INCOME_DTL_11b","E30","gross_2","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F30","transaction_fees_2","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G30","e29_f29","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C31","paypal_scars_income_event_name_3","java.lang.String","@"
"INCOME_DTL_11b","D31","paypal_scars_3","java.lang.String","@"
"INCOME_DTL_11b","E31","gross_3","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F31","transaction_fees_3","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G31","e30_f30","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C32","paypal_scars_income_event_name_4","java.lang.String","@"
"INCOME_DTL_11b","D32","paypal_scars_4","java.lang.String","@"
"INCOME_DTL_11b","E32","gross_4","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","F32","transaction_fees_4","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","G32","e31_f31","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11b","C33","paypal_scars_income_event_name_5","java.lang.String","@"
