sheetName,cellRef,fieldName,javaType,excelFormat
"INCOME_DTL_11c","C2","income_dtl_11c_r2c3","java.lang.Double","General"
"INCOME_DTL_11c","C3","contents_b59","java.lang.Double","General"
"INCOME_DTL_11c","C4","contents_e_3","java.lang.Double","General"
"INCOME_DTL_11c","C6","contents_e_4","java.lang.Double","General"
"INCOME_DTL_11c","C13","name_of_organization_or_individual","java.lang.String","@"
"INCOME_DTL_11c","D13","reason","java.lang.String","@"
"INCOME_DTL_11c","E13","income_dtl_11c_r13c5","java.lang.String","@"
"INCOME_DTL_11c","F13","date_received","java.lang.String","@"
"INCOME_DTL_11c","G13","amount","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11c","C14","name_of_organization_or_individual_2","java.lang.String","@"
"INCOME_DTL_11c","D14","reason_2","java.lang.String","@"
"INCOME_DTL_11c","E14","income_dtl_11c_r14c5","java.lang.String","@"
"INCOME_DTL_11c","F14","date_received_2","java.lang.String","@"
"INCOME_DTL_11c","G14","amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11c","C15","name_of_organization_or_individual_3","java.lang.String","@"
"INCOME_DTL_11c","D15","reason_3","java.lang.String","@"
"INCOME_DTL_11c","E15","income_dtl_11c_r15c5","java.lang.String","@"
"INCOME_DTL_11c","F15","date_received_3","java.lang.String","@"
"INCOME_DTL_11c","G15","amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11c","C16","name_of_organization_or_individual_4","java.lang.String","@"
"INCOME_DTL_11c","D16","reason_4","java.lang.String","@"
"INCOME_DTL_11c","E16","income_dtl_11c_r16c5","java.lang.String","@"
"INCOME_DTL_11c","F16","date_received_4","java.lang.String","@"
"INCOME_DTL_11c","G16","amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11c","C17","name_of_organization_or_individual_5","java.lang.String","@"
"INCOME_DTL_11c","D17","reason_5","java.lang.String","@"
"INCOME_DTL_11c","E17","income_dtl_11c_r17c5","java.lang.String","@"
"INCOME_DTL_11c","F17","date_received_5","java.lang.String","@"
"INCOME_DTL_11c","G17","amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11c","C18","name_of_organization_or_individual_6","java.lang.String","@"
"INCOME_DTL_11c","D18","reason_6","java.lang.String","@"
"INCOME_DTL_11c","E18","income_dtl_11c_r18c5","java.lang.String","@"
"INCOME_DTL_11c","F18","date_received_6","java.lang.String","@"
"INCOME_DTL_11c","G18","amount_6","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11c","C19","name_of_organization_or_individual_7","java.lang.String","@"
"INCOME_DTL_11c","D19","reason_7","java.lang.String","@"
"INCOME_DTL_11c","E19","income_dtl_11c_r19c5","java.lang.String","@"
"INCOME_DTL_11c","F19","date_received_7","java.lang.String","@"
"INCOME_DTL_11c","G19","amount_7","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11c","C20","name_of_organization_or_individual_8","java.lang.String","@"
"INCOME_DTL_11c","D20","reason_8","java.lang.String","@"
"INCOME_DTL_11c","E20","income_dtl_11c_r20c5","java.lang.String","@"
"INCOME_DTL_11c","F20","date_received_8","java.lang.String","@"
"INCOME_DTL_11c","G20","amount_8","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11c","C21","name_of_organization_or_individual_9","java.lang.String","@"
"INCOME_DTL_11c","D21","reason_9","java.lang.String","@"
"INCOME_DTL_11c","E21","income_dtl_11c_r21c5","java.lang.String","@"
"INCOME_DTL_11c","F21","date_received_9","java.lang.String","@"
"INCOME_DTL_11c","G21","amount_9","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11c","C22","name_of_organization_or_individual_10","java.lang.String","@"
"INCOME_DTL_11c","D22","reason_10","java.lang.String","@"
"INCOME_DTL_11c","E22","income_dtl_11c_r22c5","java.lang.String","@"
"INCOME_DTL_11c","F22","date_received_10","java.lang.String","@"
"INCOME_DTL_11c","G22","amount_10","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11c","C23","name_of_organization_or_individual_11","java.lang.String","@"
"INCOME_DTL_11c","D23","reason_11","java.lang.String","@"
"INCOME_DTL_11c","E23","income_dtl_11c_r23c5","java.lang.String","@"
"INCOME_DTL_11c","F23","date_received_11","java.lang.String","@"
"INCOME_DTL_11c","G23","amount_11","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11c","G24","amount_show_total_on_pg_4_line_1a","java.lang.Double","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11c","C35","group_name_and_kingdom","java.lang.String","@"
"INCOME_DTL_11c","D35","reason_12","java.lang.String","@"
"INCOME_DTL_11c","E35","check","java.lang.String","@"
"INCOME_DTL_11c","F35","check_date","java.lang.String","mm/dd/yy;@"
"INCOME_DTL_11c","G35","amount_12","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11c","C36","group_name_and_kingdom_2","java.lang.String","@"
"INCOME_DTL_11c","D36","reason_13","java.lang.String","@"
"INCOME_DTL_11c","E36","check_2","java.lang.String","@"
"INCOME_DTL_11c","F36","check_date_2","java.lang.String","mm/dd/yy;@"
"INCOME_DTL_11c","G36","amount_13","java.lang.String","#,##0.00_);(#,##0.00)"
"INCOME_DTL_11c","C37","group_name_and_kingdom_3","java.lang.String","@"
