sheetName,cellRef,fieldName,javaType,excelFormat
"INVENTORY_DTL_6","C2","inventory_dtl_6_r2c3","java.lang.Double","General"
"INVENTORY_DTL_6","C3","contents_b59","java.lang.Double","General"
"INVENTORY_DTL_6","C4","contents_e_3","java.lang.Double","General"
"INVENTORY_DTL_6","C6","contents_e_4","java.lang.Double","General"
"INVENTORY_DTL_6","E13","lot_item_description_and_year_purchased","java.lang.String","@"
"INVENTORY_DTL_6","F13","lot_item_description_and_year_purchased_2","java.lang.String","@"
"INVENTORY_DTL_6","G13","lot_item_description_and_year_purchased_3","java.lang.String","@"
"INVENTORY_DTL_6","H13","lot_item_description_and_year_purchased_4","java.lang.String","@"
"INVENTORY_DTL_6","I13","lot_item_description_and_year_purchased_5","java.lang.String","@"
"INVENTORY_DTL_6","J13","lot_item_description_and_year_purchased_6","java.lang.String","@"
"INVENTORY_DTL_6","K13","lot_item_description_and_year_purchased_7","java.lang.String","@"
"INVENTORY_DTL_6","L13","lot_item_description_and_year_purchased_8","java.lang.String","@"
"INVENTORY_DTL_6","E14","suggested_selling_price","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6","F14","suggested_selling_price_2","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6","G14","suggested_selling_price_3","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6","H14","suggested_selling_price_4","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6","I14","suggested_selling_price_5","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6","J14","suggested_selling_price_6","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6","K14","suggested_selling_price_7","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6","L14","suggested_selling_price_8","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6","E16","existing_lot_quantity","java.lang.String","0"
"INVENTORY_DTL_6","F16","existing_lot_quantity_2","java.lang.String","0"
"INVENTORY_DTL_6","G16","existing_lot_quantity_3","java.lang.String","0"
"INVENTORY_DTL_6","H16","existing_lot_quantity_4","java.lang.String","0"
"INVENTORY_DTL_6","I16","existing_lot_quantity_5","java.lang.String","0"
"INVENTORY_DTL_6","J16","existing_lot_quantity_6","java.lang.String","0"
"INVENTORY_DTL_6","K16","existing_lot_quantity_7","java.lang.String","0"
"INVENTORY_DTL_6","L16","existing_lot_quantity_8","java.lang.String","0"
"INVENTORY_DTL_6","E17","existing_lot_extended_cost","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6","F17","existing_lot_extended_cost_2","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6","G17","existing_lot_extended_cost_3","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6","H17","existing_lot_extended_cost_4","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6","I17","existing_lot_extended_cost_5","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6","J17","existing_lot_extended_cost_6","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6","K17","existing_lot_extended_cost_7","java.lang.String","#,##0.00_);(#,##0.00)"
