sheetName,cellRef,fieldName,javaType,excelFormat
"INVENTORY_DTL_6b","C2","inventory_dtl_6b_r2c3","java.lang.Double","General"
"INVENTORY_DTL_6b","C3","contents_b59","java.lang.Double","General"
"INVENTORY_DTL_6b","C4","contents_e_3","java.lang.Double","General"
"INVENTORY_DTL_6b","C6","contents_e_4","java.lang.Double","General"
"INVENTORY_DTL_6b","E13","lot_item_description","java.lang.String","@"
"INVENTORY_DTL_6b","F13","lot_item_description_2","java.lang.String","@"
"INVENTORY_DTL_6b","G13","lot_item_description_3","java.lang.String","@"
"INVENTORY_DTL_6b","H13","lot_item_description_4","java.lang.String","@"
"INVENTORY_DTL_6b","I13","lot_item_description_5","java.lang.String","@"
"INVENTORY_DTL_6b","J13","lot_item_description_6","java.lang.String","@"
"INVENTORY_DTL_6b","K13","lot_item_description_7","java.lang.String","@"
"INVENTORY_DTL_6b","L13","lot_item_description_8","java.lang.String","@"
"INVENTORY_DTL_6b","E14","suggested_selling_price","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","F14","suggested_selling_price_2","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","G14","suggested_selling_price_3","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","H14","suggested_selling_price_4","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","I14","suggested_selling_price_5","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","J14","suggested_selling_price_6","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","K14","suggested_selling_price_7","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","L14","suggested_selling_price_8","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","E16","existing_lot_quantity","java.lang.String","0"
"INVENTORY_DTL_6b","F16","existing_lot_quantity_2","java.lang.String","0"
"INVENTORY_DTL_6b","G16","existing_lot_quantity_3","java.lang.String","0"
"INVENTORY_DTL_6b","H16","existing_lot_quantity_4","java.lang.String","0"
"INVENTORY_DTL_6b","I16","existing_lot_quantity_5","java.lang.String","0"
"INVENTORY_DTL_6b","J16","existing_lot_quantity_6","java.lang.String","0"
"INVENTORY_DTL_6b","K16","existing_lot_quantity_7","java.lang.String","0"
"INVENTORY_DTL_6b","L16","existing_lot_quantity_8","java.lang.String","0"
"INVENTORY_DTL_6b","E17","existing_lot_extended_cost","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","F17","existing_lot_extended_cost_2","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","G17","existing_lot_extended_cost_3","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","H17","existing_lot_extended_cost_4","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","I17","existing_lot_extended_cost_5","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","J17","existing_lot_extended_cost_6","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","K17","existing_lot_extended_cost_7","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","L17","existing_lot_extended_cost_8","java.lang.String","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","M17","pg_3_i_d_start_existing_lot_extended_cost","java.lang.Double","#,##0.00_);(#,##0.00)"
"INVENTORY_DTL_6b","E19","new_lot_purchase_quantity","java.lang.String","0"
"INVENTORY_DTL_6b","F19","new_lot_purchase_quantity_2","java.lang.String","0"
"INVENTORY_DTL_6b","G19","new_lot_purchase_quantity_3","java.lang.String","0"
"INVENTORY_DTL_6b","H19","new_lot_purchase_quantity_4","java.lang.String","0"
"INVENTORY_DTL_6b","I19","new_lot_purchase_quantity_5","java.lang.String","0"
