sheetName,cellRef,fieldName,javaType,excelFormat
"LIABILITY_DTL_5b","C2","liability_dtl_5b_r2c3","java.lang.Double","General"
"LIABILITY_DTL_5b","C3","contents_b59","java.lang.Double","General"
"LIABILITY_DTL_5b","C4","contents_e_3","java.lang.Double","General"
"LIABILITY_DTL_5b","C6","contents_e_4","java.lang.Double","General"
"LIABILITY_DTL_5b","C16","deferred_revenue_event","java.lang.String","@"
"LIABILITY_DTL_5b","D16","event","java.lang.String","General"
"LIABILITY_DTL_5b","E16","prior_amount","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","F16","current_amount","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","C17","deferred_revenue_event_2","java.lang.String","@"
"LIABILITY_DTL_5b","D17","event_2","java.lang.String","General"
"LIABILITY_DTL_5b","E17","prior_amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","F17","current_amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","C18","deferred_revenue_event_3","java.lang.String","@"
"LIABILITY_DTL_5b","D18","event_3","java.lang.String","General"
"LIABILITY_DTL_5b","E18","prior_amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","F18","current_amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","C19","deferred_revenue_event_4","java.lang.String","@"
"LIABILITY_DTL_5b","D19","event_4","java.lang.String","General"
"LIABILITY_DTL_5b","E19","prior_amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","F19","current_amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","C20","deferred_revenue_event_5","java.lang.String","@"
"LIABILITY_DTL_5b","D20","event_5","java.lang.String","General"
"LIABILITY_DTL_5b","E20","prior_amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","F20","current_amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","C21","deferred_revenue_event_6","java.lang.String","@"
"LIABILITY_DTL_5b","D21","event_6","java.lang.String","General"
"LIABILITY_DTL_5b","E21","prior_amount_6","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","F21","current_amount_6","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","C22","deferred_revenue_event_7","java.lang.String","@"
"LIABILITY_DTL_5b","D22","event_7","java.lang.String","General"
"LIABILITY_DTL_5b","E22","prior_amount_7","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","F22","current_amount_7","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","C23","deferred_revenue_event_8","java.lang.String","@"
"LIABILITY_DTL_5b","D23","event_8","java.lang.String","General"
"LIABILITY_DTL_5b","E23","prior_amount_8","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","F23","current_amount_8","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","C24","deferred_revenue_event_9","java.lang.String","@"
"LIABILITY_DTL_5b","D24","event_9","java.lang.String","General"
"LIABILITY_DTL_5b","E24","prior_amount_9","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","F24","current_amount_9","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5b","C25","deferred_revenue_event_10","java.lang.String","@"
"LIABILITY_DTL_5b","D25","event_10","java.lang.String","General"
