sheetName,cellRef,fieldName,javaType,excelFormat
"LIABILITY_DTL_5d","C2","liability_dtl_5d_r2c3","java.lang.Double","General"
"LIABILITY_DTL_5d","C3","contents_b59","java.lang.Double","General"
"LIABILITY_DTL_5d","C4","contents_e_3","java.lang.Double","General"
"LIABILITY_DTL_5d","C6","contents_e_4","java.lang.Double","General"
"LIABILITY_DTL_5d","C11","deferred_revenue_event","java.lang.String","@"
"LIABILITY_DTL_5d","D11","event","java.lang.String","General"
"LIABILITY_DTL_5d","E11","prior_amount","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F11","current_amount","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C12","deferred_revenue_event_2","java.lang.String","@"
"LIABILITY_DTL_5d","D12","event_2","java.lang.String","General"
"LIABILITY_DTL_5d","E12","prior_amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F12","current_amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C13","deferred_revenue_event_3","java.lang.String","@"
"LIABILITY_DTL_5d","D13","event_3","java.lang.String","General"
"LIABILITY_DTL_5d","E13","prior_amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F13","current_amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C14","deferred_revenue_event_4","java.lang.String","@"
"LIABILITY_DTL_5d","D14","event_4","java.lang.String","General"
"LIABILITY_DTL_5d","E14","prior_amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F14","current_amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C15","deferred_revenue_event_5","java.lang.String","@"
"LIABILITY_DTL_5d","D15","event_5","java.lang.String","General"
"LIABILITY_DTL_5d","E15","prior_amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F15","current_amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C16","deferred_revenue_event_6","java.lang.String","@"
"LIABILITY_DTL_5d","D16","event_6","java.lang.String","General"
"LIABILITY_DTL_5d","E16","prior_amount_6","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F16","current_amount_6","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C17","deferred_revenue_event_7","java.lang.String","@"
"LIABILITY_DTL_5d","D17","event_7","java.lang.String","General"
"LIABILITY_DTL_5d","E17","prior_amount_7","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F17","current_amount_7","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C18","deferred_revenue_event_8","java.lang.String","@"
"LIABILITY_DTL_5d","D18","event_8","java.lang.String","General"
"LIABILITY_DTL_5d","E18","prior_amount_8","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F18","current_amount_8","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C19","deferred_revenue_event_9","java.lang.String","@"
"LIABILITY_DTL_5d","D19","event_9","java.lang.String","General"
"LIABILITY_DTL_5d","E19","prior_amount_9","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F19","current_amount_9","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C20","deferred_revenue_event_10","java.lang.String","@"
"LIABILITY_DTL_5d","D20","event_10","java.lang.String","General"
"LIABILITY_DTL_5d","E20","prior_amount_10","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F20","current_amount_10","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C21","deferred_revenue_event_11","java.lang.String","@"
"LIABILITY_DTL_5d","D21","event_11","java.lang.String","General"
"LIABILITY_DTL_5d","E21","prior_amount_11","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F21","current_amount_11","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C22","deferred_revenue_event_12","java.lang.String","@"
"LIABILITY_DTL_5d","D22","event_12","java.lang.String","General"
"LIABILITY_DTL_5d","E22","prior_amount_12","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F22","current_amount_12","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C23","deferred_revenue_event_13","java.lang.String","@"
"LIABILITY_DTL_5d","D23","event_13","java.lang.String","General"
"LIABILITY_DTL_5d","E23","prior_amount_13","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F23","current_amount_13","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C24","deferred_revenue_event_14","java.lang.String","@"
"LIABILITY_DTL_5d","D24","event_14","java.lang.String","General"
"LIABILITY_DTL_5d","E24","prior_amount_14","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F24","current_amount_14","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C25","deferred_revenue_event_15","java.lang.String","@"
"LIABILITY_DTL_5d","D25","event_15","java.lang.String","General"
"LIABILITY_DTL_5d","E25","prior_amount_15","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F25","current_amount_15","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C26","deferred_revenue_event_16","java.lang.String","@"
"LIABILITY_DTL_5d","D26","event_16","java.lang.String","General"
"LIABILITY_DTL_5d","E26","prior_amount_16","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F26","current_amount_16","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C27","deferred_revenue_event_17","java.lang.String","@"
"LIABILITY_DTL_5d","D27","event_17","java.lang.String","General"
"LIABILITY_DTL_5d","E27","prior_amount_17","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F27","current_amount_17","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C28","deferred_revenue_event_18","java.lang.String","@"
"LIABILITY_DTL_5d","D28","event_18","java.lang.String","General"
"LIABILITY_DTL_5d","E28","prior_amount_18","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F28","current_amount_18","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","E29","prior_amount_total","java.lang.Double","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F29","current_amount_sum_e11_e28","java.lang.Double","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C33","payables_owed_to","java.lang.String","@"
"LIABILITY_DTL_5d","D33","reason","java.lang.String","@"
"LIABILITY_DTL_5d","E33","prior_amount_19","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F33","current_amount_19","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C34","payables_owed_to_2","java.lang.String","@"
"LIABILITY_DTL_5d","D34","reason_2","java.lang.String","@"
"LIABILITY_DTL_5d","E34","prior_amount_20","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F34","current_amount_20","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C35","payables_owed_to_3","java.lang.String","@"
"LIABILITY_DTL_5d","D35","reason_3","java.lang.String","@"
"LIABILITY_DTL_5d","E35","prior_amount_21","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F35","current_amount_21","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C36","payables_owed_to_4","java.lang.String","@"
"LIABILITY_DTL_5d","D36","reason_4","java.lang.String","@"
"LIABILITY_DTL_5d","E36","prior_amount_22","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F36","current_amount_22","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C37","payables_owed_to_5","java.lang.String","@"
"LIABILITY_DTL_5d","D37","reason_5","java.lang.String","@"
"LIABILITY_DTL_5d","E37","prior_amount_23","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F37","current_amount_23","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C38","payables_owed_to_6","java.lang.String","@"
"LIABILITY_DTL_5d","D38","reason_6","java.lang.String","@"
"LIABILITY_DTL_5d","E38","prior_amount_24","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F38","current_amount_24","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C39","payables_owed_to_7","java.lang.String","@"
"LIABILITY_DTL_5d","D39","reason_7","java.lang.String","@"
"LIABILITY_DTL_5d","E39","prior_amount_25","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F39","current_amount_25","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C40","payables_owed_to_8","java.lang.String","@"
"LIABILITY_DTL_5d","D40","reason_8","java.lang.String","@"
"LIABILITY_DTL_5d","E40","prior_amount_26","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F40","current_amount_26","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C41","payables_owed_to_9","java.lang.String","@"
"LIABILITY_DTL_5d","D41","reason_9","java.lang.String","@"
"LIABILITY_DTL_5d","E41","prior_amount_27","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F41","current_amount_27","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C42","payables_owed_to_10","java.lang.String","@"
"LIABILITY_DTL_5d","D42","reason_10","java.lang.String","@"
"LIABILITY_DTL_5d","E42","prior_amount_28","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","F42","current_amount_28","java.lang.String","#,##0.00_);(#,##0.00)"
"LIABILITY_DTL_5d","C43","payables_owed_to_11","java.lang.String","@"
"LIABILITY_DTL_5d","D43","reason_11","java.lang.String","@"
