sheetName,cellRef,fieldName,javaType,excelFormat
"PRIMARY_ACCOUNT_2a","C2","primary_account_2a_r2c3","java.lang.Double","General"
"PRIMARY_ACCOUNT_2a","C3","contents_b59","java.lang.Double","General"
"PRIMARY_ACCOUNT_2a","C4","contents_e_3","java.lang.Double","General"
"PRIMARY_ACCOUNT_2a","C6","contents_e_4","java.lang.Double","General"
"PRIMARY_ACCOUNT_2a","E13","bank_name","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","F13","bank_name_2","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","G13","bank_name_3","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","H13","bank_name_4","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","E14","bank_account_title","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","F14","bank_account_title_2","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","G14","bank_account_title_3","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","H14","bank_account_title_4","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","E15","bank_account_type","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","H15","bank_s_signature_requirement","java.lang.String","General"
"PRIMARY_ACCOUNT_2a","E16","bank_account_number","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","H16","no_statement_ending_date","java.lang.String","[$-409]d\-mmm\-yyyy;@"
"PRIMARY_ACCOUNT_2a","F17","statement_ending_date_bank_branch_phone_number_and_name_of_contact","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","G17","bank_branch_phone_number_and_name_of_contact","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","H17","no_bank_branch_phone_number_and_name_of_contact","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","H18","no","java.lang.Double","General"
"PRIMARY_ACCOUNT_2a","H19","contents_c14_1_balance_from_bank_statement_at_end_of_period","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","C21","deposit_date","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","E21","amount_of_deposit","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","F21","deposit_date_2","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","G21","primary_account_2a_r21c7","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","H21","amount_of_deposit_2","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","C22","deposit_date_3","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","D22","primary_account_2a_r22c4","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","E22","amount_of_deposit_3","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","F22","deposit_date_4","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","G22","primary_account_2a_r22c7","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","H22","amount_of_deposit_4","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","C23","deposit_date_5","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","E23","amount_of_deposit_5","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","F23","deposit_date_6","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","G23","primary_account_2a_r23c7","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","H23","amount_of_deposit_6","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","H24","amount_of_deposit_total","java.lang.Double","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","C27","check_number","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","D27","date","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","E27","check_amount","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","F27","check_number_2","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","G27","date_2","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","H27","check_amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","C28","check_number_3","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","D28","date_3","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","E28","check_amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","F28","check_number_4","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","G28","date_4","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","H28","check_amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","C29","check_number_5","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","D29","date_5","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","E29","check_amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","F29","check_number_6","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","G29","date_6","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","H29","check_amount_6","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","C30","check_number_7","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","D30","date_7","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","E30","check_amount_7","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","F30","check_number_8","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","G30","date_8","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","H30","check_amount_8","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","C31","check_number_9","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","D31","date_9","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","E31","check_amount_9","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","F31","check_number_10","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","G31","date_10","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","H31","check_amount_10","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","C32","check_number_11","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","D32","date_11","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","E32","check_amount_11","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","F32","check_number_12","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","G32","date_12","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","H32","check_amount_12","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","C33","check_number_13","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","D33","date_13","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","E33","check_amount_13","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","F33","check_number_14","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","G33","date_14","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","H33","check_amount_14","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","C34","check_number_15","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","D34","date_15","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","E34","check_amount_15","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","F34","check_number_16","java.lang.String","@"
"PRIMARY_ACCOUNT_2a","G34","date_16","java.lang.String","m/d/yy"
"PRIMARY_ACCOUNT_2a","H34","check_amount_16","java.lang.String","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","H35","check_amount_total","java.lang.Double","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","G36","date_4_adjusted_account_balance_line_1_line_2_line_3","java.lang.Double","#,##0.00_);(#,##0.00)"
"PRIMARY_ACCOUNT_2a","H36","round_sum_e27_e34_2_round_sum_h27_h34_2_h_36_h_37","java.lang.Double","#,##0.00_);(#,##0.00)"
