sheetName,cellRef,fieldName,javaType,excelFormat
"REGALIA_SALES_DTL_7","C2","regalia_sales_dtl_7_r2c3","java.lang.Double","General"
"REGALIA_SALES_DTL_7","C3","contents_b59","java.lang.Double","General"
"REGALIA_SALES_DTL_7","C4","contents_e_3","java.lang.Double","General"
"REGALIA_SALES_DTL_7","C6","contents_e_4","java.lang.Double","General"
"REGALIA_SALES_DTL_7","C10","regalia_other_sales_detail","java.lang.String","General"
"REGALIA_SALES_DTL_7","D10","regalia_non_depreciated_equipment_this_section_will_be_going_away","java.lang.String","General"
"REGALIA_SALES_DTL_7","E10","regalia_non_depreciated_equipment_this_section_will_be_going_away_2","java.lang.String","General"
"REGALIA_SALES_DTL_7","F10","regalia_non_depreciated_equipment_this_section_will_be_going_away_3","java.lang.String","General"
"REGALIA_SALES_DTL_7","G10","regalia_non_depreciated_equipment_this_section_will_be_going_away_4","java.lang.String","General"
"REGALIA_SALES_DTL_7","H10","regalia_non_depreciated_equipment_this_section_will_be_going_away_5","java.lang.String","General"
"REGALIA_SALES_DTL_7","I10","regalia_non_depreciated_equipment_this_section_will_be_going_away_6","java.lang.String","General"
"REGALIA_SALES_DTL_7","C11","regalia_non_depreciated_equipment_this_section_will_be_going_away_7","java.lang.String","General"
"REGALIA_SALES_DTL_7","D11","do_not_enter_any_more_items_under_regalia","java.lang.String","General"
"REGALIA_SALES_DTL_7","E11","do_not_enter_any_more_items_under_regalia_2","java.lang.String","General"
"REGALIA_SALES_DTL_7","F11","do_not_enter_any_more_items_under_regalia_3","java.lang.String","General"
"REGALIA_SALES_DTL_7","G11","do_not_enter_any_more_items_under_regalia_4","java.lang.String","General"
"REGALIA_SALES_DTL_7","H11","do_not_enter_any_more_items_under_regalia_5","java.lang.String","General"
"REGALIA_SALES_DTL_7","I11","do_not_enter_any_more_items_under_regalia_6","java.lang.String","General"
"REGALIA_SALES_DTL_7","C12","do_not_enter_any_more_items_under_regalia_7","java.lang.String","General"
"REGALIA_SALES_DTL_7","D12","any_regalia_type_item_such_as_a_crown_that_cost_2000_or_more_needs_to_be_depreciated_under_the_7_year_section","java.lang.String","General"
"REGALIA_SALES_DTL_7","E12","any_regalia_type_item_such_as_a_crown_that_cost_2000_or_more_needs_to_be_depreciated_under_the_7_year_section_2","java.lang.String","General"
"REGALIA_SALES_DTL_7","F12","any_regalia_type_item_such_as_a_crown_that_cost_2000_or_more_needs_to_be_depreciated_under_the_7_year_section_3","java.lang.String","General"
"REGALIA_SALES_DTL_7","G12","any_regalia_type_item_such_as_a_crown_that_cost_2000_or_more_needs_to_be_depreciated_under_the_7_year_section_4","java.lang.String","General"
"REGALIA_SALES_DTL_7","H12","any_regalia_type_item_such_as_a_crown_that_cost_2000_or_more_needs_to_be_depreciated_under_the_7_year_section_5","java.lang.String","General"
"REGALIA_SALES_DTL_7","I12","any_regalia_type_item_such_as_a_crown_that_cost_2000_or_more_needs_to_be_depreciated_under_the_7_year_section_6","java.lang.String","General"
"REGALIA_SALES_DTL_7","C13","any_regalia_type_item_such_as_a_crown_that_cost_2000_or_more_needs_to_be_depreciated_under_the_7_year_section_7","java.lang.String","General"
"REGALIA_SALES_DTL_7","D13","if_you_purchased_two_crowns_coronets_for_3000_then_each_one_would_be_1500_a_piece_and_these_would_not_be","java.lang.String","General"
"REGALIA_SALES_DTL_7","E13","if_you_purchased_two_crowns_coronets_for_3000_then_each_one_would_be_1500_a_piece_and_these_would_not_be_2","java.lang.String","General"
"REGALIA_SALES_DTL_7","F13","if_you_purchased_two_crowns_coronets_for_3000_then_each_one_would_be_1500_a_piece_and_these_would_not_be_3","java.lang.String","General"
"REGALIA_SALES_DTL_7","G13","if_you_purchased_two_crowns_coronets_for_3000_then_each_one_would_be_1500_a_piece_and_these_would_not_be_4","java.lang.String","General"
"REGALIA_SALES_DTL_7","H13","if_you_purchased_two_crowns_coronets_for_3000_then_each_one_would_be_1500_a_piece_and_these_would_not_be_5","java.lang.String","General"
"REGALIA_SALES_DTL_7","I13","if_you_purchased_two_crowns_coronets_for_3000_then_each_one_would_be_1500_a_piece_and_these_would_not_be_6","java.lang.String","General"
"REGALIA_SALES_DTL_7","C14","if_you_purchased_two_crowns_coronets_for_3000_then_each_one_would_be_1500_a_piece_and_these_would_not_be_7","java.lang.String","General"
"REGALIA_SALES_DTL_7","D14","depreciatied_but_rather_expensed_under_ar_general_supplies_you_would_still_need_to_list_the_items_on_the_group_s","java.lang.String","General"
"REGALIA_SALES_DTL_7","E14","depreciatied_but_rather_expensed_under_ar_general_supplies_you_would_still_need_to_list_the_items_on_the_group_s_2","java.lang.String","General"
