sheetName,cellRef,fieldName,javaType,excelFormat
"REGALIA_SALES_DTL_7b","C2","regalia_sales_dtl_7b_r2c3","java.lang.Double","General"
"REGALIA_SALES_DTL_7b","C3","contents_b59","java.lang.Double","General"
"REGALIA_SALES_DTL_7b","C4","contents_e_3","java.lang.Double","General"
"REGALIA_SALES_DTL_7b","C6","contents_e_4","java.lang.Double","General"
"REGALIA_SALES_DTL_7b","C11","regalia_non_depreciated_equipment","java.lang.String","General"
"REGALIA_SALES_DTL_7b","D11","don_t_use_this_section_anymore","java.lang.String","General"
"REGALIA_SALES_DTL_7b","E11","don_t_use_this_section_anymore_2","java.lang.String","General"
"REGALIA_SALES_DTL_7b","F11","don_t_use_this_section_anymore_3","java.lang.String","General"
"REGALIA_SALES_DTL_7b","G11","don_t_use_this_section_anymore_4","java.lang.String","General"
"REGALIA_SALES_DTL_7b","C20","item_description","java.lang.String","@"
"REGALIA_SALES_DTL_7b","D20","qty","java.lang.String","0"
"REGALIA_SALES_DTL_7b","E20","year_acquired","java.lang.String","0"
"REGALIA_SALES_DTL_7b","F20","a_start_prior_value","java.lang.String","#,##0.00_);(#,##0.00)"
"REGALIA_SALES_DTL_7b","G20","b_value_of_new_item","java.lang.String","#,##0.00_);(#,##0.00)"
"REGALIA_SALES_DTL_7b","H20","c_value_adjustment","java.lang.String","#,##0.00_);(#,##0.00)"
"REGALIA_SALES_DTL_7b","I20","a_or_b_c_end_value","java.lang.Double","#,##0.00_);(#,##0.00)"
"REGALIA_SALES_DTL_7b","C21","item_description_2","java.lang.String","@"
"REGALIA_SALES_DTL_7b","D21","qty_2","java.lang.String","0"
"REGALIA_SALES_DTL_7b","E21","year_acquired_2","java.lang.String","0"
"REGALIA_SALES_DTL_7b","F21","a_start_prior_value_2","java.lang.String","#,##0.00_);(#,##0.00)"
"REGALIA_SALES_DTL_7b","G21","b_value_of_new_item_2","java.lang.String","#,##0.00_);(#,##0.00)"
"REGALIA_SALES_DTL_7b","H21","c_value_adjustment_2","java.lang.String","#,##0.00_);(#,##0.00)"
"REGALIA_SALES_DTL_7b","I21","if_f20_0_f20_g20_h20","java.lang.Double","#,##0.00_);(#,##0.00)"
"REGALIA_SALES_DTL_7b","C22","item_description_3","java.lang.String","@"
"REGALIA_SALES_DTL_7b","D22","qty_3","java.lang.String","0"
"REGALIA_SALES_DTL_7b","E22","year_acquired_3","java.lang.String","0"
"REGALIA_SALES_DTL_7b","F22","a_start_prior_value_3","java.lang.String","#,##0.00_);(#,##0.00)"
"REGALIA_SALES_DTL_7b","G22","b_value_of_new_item_3","java.lang.String","#,##0.00_);(#,##0.00)"
"REGALIA_SALES_DTL_7b","H22","c_value_adjustment_3","java.lang.String","#,##0.00_);(#,##0.00)"
"REGALIA_SALES_DTL_7b","I22","if_f21_0_f21_g21_h21","java.lang.Double","#,##0.00_);(#,##0.00)"
"REGALIA_SALES_DTL_7b","C23","item_description_4","java.lang.String","@"
"REGALIA_SALES_DTL_7b","D23","qty_4","java.lang.String","0"
"REGALIA_SALES_DTL_7b","E23","year_acquired_4","java.lang.String","0"
