sheetName,cellRef,fieldName,javaType,excelFormat
"SECONDARY_ACCOUNTS_2d","C2","secondary_accounts_2d_r2c3","java.lang.Double","General"
"SECONDARY_ACCOUNTS_2d","C3","contents_b59","java.lang.Double","General"
"SECONDARY_ACCOUNTS_2d","C4","contents_e_3","java.lang.Double","General"
"SECONDARY_ACCOUNTS_2d","C6","contents_e_4","java.lang.Double","General"
"SECONDARY_ACCOUNTS_2d","D13","bank_name","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","E13","bank_name_2","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","F13","bank_name_3","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","G13","bank_name_4","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","D14","account_number","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","E14","account_number_2","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","F14","account_number_3","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","G14","account_number_4","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","D15","bank_s_signature_req","java.lang.String","0"
"SECONDARY_ACCOUNTS_2d","E15","dual_signature","java.lang.String","0"
"SECONDARY_ACCOUNTS_2d","F15","dual_signature_2","java.lang.String","0"
"SECONDARY_ACCOUNTS_2d","G15","dual_signature_3","java.lang.String","0"
"SECONDARY_ACCOUNTS_2d","D16","dual_signature_account_type","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","E16","dual_signature_account_type_2","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","F16","dual_signature_account_type_3","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","G16","dual_signature_account_type_4","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","D17","dual_signature_interest_bearing","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","E17","dual_signature_interest_bearing_2","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","F17","dual_signature_interest_bearing_3","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","G17","dual_signature_interest_bearing_4","java.lang.String","@"
"SECONDARY_ACCOUNTS_2d","D18","dual_signature_statement_end_date","java.lang.String","m/d/yy"
"SECONDARY_ACCOUNTS_2d","E18","dual_signature_statement_end_date_2","java.lang.String","m/d/yy"
"SECONDARY_ACCOUNTS_2d","F18","dual_signature_statement_end_date_3","java.lang.String","m/d/yy"
"SECONDARY_ACCOUNTS_2d","G18","dual_signature_statement_end_date_4","java.lang.String","m/d/yy"
"SECONDARY_ACCOUNTS_2d","D19","dual_signature_a_statement_ending_balance","java.lang.String","#,##0.00_);(#,##0.00)"
"SECONDARY_ACCOUNTS_2d","E19","dual_signature_a_statement_ending_balance_2","java.lang.String","#,##0.00_);(#,##0.00)"
"SECONDARY_ACCOUNTS_2d","F19","dual_signature_a_statement_ending_balance_3","java.lang.String","#,##0.00_);(#,##0.00)"
"SECONDARY_ACCOUNTS_2d","G19","dual_signature_a_statement_ending_balance_4","java.lang.String","#,##0.00_);(#,##0.00)"
"SECONDARY_ACCOUNTS_2d","I19","a","java.lang.Double","General"
"SECONDARY_ACCOUNTS_2d","D20","dual_signature_b_total_deposits_not_credited","java.lang.String","#,##0.00_);(#,##0.00)"
"SECONDARY_ACCOUNTS_2d","E20","dual_signature_b_total_deposits_not_credited_2","java.lang.String","#,##0.00_);(#,##0.00)"
"SECONDARY_ACCOUNTS_2d","F20","dual_signature_b_total_deposits_not_credited_3","java.lang.String","#,##0.00_);(#,##0.00)"
"SECONDARY_ACCOUNTS_2d","G20","dual_signature_b_total_deposits_not_credited_4","java.lang.String","#,##0.00_);(#,##0.00)"
"SECONDARY_ACCOUNTS_2d","D21","dual_signature_c_total_withdrawals_not_cleared","java.lang.String","#,##0.00_);(#,##0.00)"
"SECONDARY_ACCOUNTS_2d","E21","dual_signature_c_total_withdrawals_not_cleared_2","java.lang.String","#,##0.00_);(#,##0.00)"
