sheetName,cellRef,fieldName,javaType,excelFormat
"TRANSFER_IN_9","C2","transfer_in_9_r2c3","java.lang.Double","General"
"TRANSFER_IN_9","C3","contents_b59","java.lang.Double","General"
"TRANSFER_IN_9","C4","contents_e_3","java.lang.Double","General"
"TRANSFER_IN_9","C6","contents_e_4","java.lang.Double","General"
"TRANSFER_IN_9","C10","sca_funds_transferred_detail_in","java.lang.String","General"
"TRANSFER_IN_9","D10","new_funds_received_from_paypal_scars_get_reported_on_11_b_income_dtl","java.lang.String","General"
"TRANSFER_IN_9","E10","new_funds_received_from_paypal_scars_get_reported_on_11_b_income_dtl_2","java.lang.String","General"
"TRANSFER_IN_9","F10","new_funds_received_from_paypal_scars_get_reported_on_11_b_income_dtl_3","java.lang.String","General"
"TRANSFER_IN_9","C14","within_the_kingdom","java.lang.String","@"
"TRANSFER_IN_9","D14","check","java.lang.String","@"
"TRANSFER_IN_9","E14","check_date","java.lang.String","m/d/yy"
"TRANSFER_IN_9","F14","amount","java.lang.String","#,##0.00_);(#,##0.00)"
"TRANSFER_IN_9","C15","within_the_kingdom_2","java.lang.String","@"
"TRANSFER_IN_9","D15","check_2","java.lang.String","@"
"TRANSFER_IN_9","E15","check_date_2","java.lang.String","m/d/yy"
"TRANSFER_IN_9","F15","amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"TRANSFER_IN_9","C16","within_the_kingdom_3","java.lang.String","@"
"TRANSFER_IN_9","D16","check_3","java.lang.String","@"
"TRANSFER_IN_9","E16","check_date_3","java.lang.String","m/d/yy"
"TRANSFER_IN_9","F16","amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"TRANSFER_IN_9","C17","within_the_kingdom_4","java.lang.String","@"
"TRANSFER_IN_9","D17","check_4","java.lang.String","@"
"TRANSFER_IN_9","E17","check_date_4","java.lang.String","m/d/yy"
"TRANSFER_IN_9","F17","amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"TRANSFER_IN_9","C18","within_the_kingdom_5","java.lang.String","@"
"TRANSFER_IN_9","D18","check_5","java.lang.String","@"
"TRANSFER_IN_9","E18","check_date_5","java.lang.String","m/d/yy"
"TRANSFER_IN_9","F18","amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
"TRANSFER_IN_9","C19","within_the_kingdom_6","java.lang.String","@"
"TRANSFER_IN_9","D19","check_6","java.lang.String","@"
"TRANSFER_IN_9","E19","check_date_6","java.lang.String","m/d/yy"
