sheetName,cellRef,fieldName,javaType,excelFormat
"TRANSFER_IN_9b","C2","transfer_in_9b_r2c3","java.lang.Double","General"
"TRANSFER_IN_9b","C3","contents_b59","java.lang.Double","General"
"TRANSFER_IN_9b","C4","contents_e_3","java.lang.Double","General"
"TRANSFER_IN_9b","C6","contents_e_4","java.lang.Double","General"
"TRANSFER_IN_9b","C11","within_the_kingdom","java.lang.String","@"
"TRANSFER_IN_9b","D11","check","java.lang.String","@"
"TRANSFER_IN_9b","E11","check_date","java.lang.String","[$-409]d\-mmm\-yyyy;@"
"TRANSFER_IN_9b","F11","amount","java.lang.String","#,##0.00_);(#,##0.00)"
"TRANSFER_IN_9b","C12","within_the_kingdom_2","java.lang.String","@"
"TRANSFER_IN_9b","D12","check_2","java.lang.String","@"
"TRANSFER_IN_9b","E12","check_date_2","java.lang.String","[$-409]d\-mmm\-yyyy;@"
"TRANSFER_IN_9b","F12","amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"TRANSFER_IN_9b","C13","within_the_kingdom_3","java.lang.String","@"
"TRANSFER_IN_9b","D13","check_3","java.lang.String","@"
"TRANSFER_IN_9b","E13","check_date_3","java.lang.String","[$-409]d\-mmm\-yyyy;@"
"TRANSFER_IN_9b","F13","amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"TRANSFER_IN_9b","C14","within_the_kingdom_4","java.lang.String","@"
"TRANSFER_IN_9b","D14","check_4","java.lang.String","@"
"TRANSFER_IN_9b","E14","check_date_4","java.lang.String","[$-409]d\-mmm\-yyyy;@"
"TRANSFER_IN_9b","F14","amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"TRANSFER_IN_9b","C15","within_the_kingdom_5","java.lang.String","@"
"TRANSFER_IN_9b","D15","check_5","java.lang.String","@"
"TRANSFER_IN_9b","E15","check_date_5","java.lang.String","[$-409]d\-mmm\-yyyy;@"
"TRANSFER_IN_9b","F15","amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
"TRANSFER_IN_9b","C16","within_the_kingdom_6","java.lang.String","@"
"TRANSFER_IN_9b","D16","check_6","java.lang.String","@"
"TRANSFER_IN_9b","E16","check_date_6","java.lang.String","[$-409]d\-mmm\-yyyy;@"
"TRANSFER_IN_9b","F16","amount_6","java.lang.String","#,##0.00_);(#,##0.00)"
"TRANSFER_IN_9b","C17","within_the_kingdom_7","java.lang.String","@"
"TRANSFER_IN_9b","D17","check_7","java.lang.String","@"
