sheetName,cellRef,fieldName,javaType,excelFormat
"TRANSFER_OUT_10","C2","transfer_out_10_r2c3","java.lang.Double","General"
"TRANSFER_OUT_10","C3","contents_b59","java.lang.Double","General"
"TRANSFER_OUT_10","C4","contents_e_3","java.lang.Double","General"
"TRANSFER_OUT_10","C6","contents_e_4","java.lang.Double","General"
"TRANSFER_OUT_10","C11","within_the_kingdom","java.lang.String","@"
"TRANSFER_OUT_10","D11","check","java.lang.String","@"
"TRANSFER_OUT_10","E11","check_date","java.lang.String","[$-409]d\-mmm\-yyyy;@"
"TRANSFER_OUT_10","F11","amount","java.lang.String","#,##0.00_);(#,##0.00)"
"TRANSFER_OUT_10","C12","within_the_kingdom_2","java.lang.String","@"
"TRANSFER_OUT_10","D12","check_2","java.lang.String","@"
"TRANSFER_OUT_10","E12","check_date_2","java.lang.String","[$-409]d\-mmm\-yyyy;@"
"TRANSFER_OUT_10","F12","amount_2","java.lang.String","#,##0.00_);(#,##0.00)"
"TRANSFER_OUT_10","C13","within_the_kingdom_3","java.lang.String","@"
"TRANSFER_OUT_10","D13","check_3","java.lang.String","@"
"TRANSFER_OUT_10","E13","check_date_3","java.lang.String","[$-409]d\-mmm\-yyyy;@"
"TRANSFER_OUT_10","F13","amount_3","java.lang.String","#,##0.00_);(#,##0.00)"
"TRANSFER_OUT_10","C14","within_the_kingdom_4","java.lang.String","@"
"TRANSFER_OUT_10","D14","check_4","java.lang.String","@"
"TRANSFER_OUT_10","E14","check_date_4","java.lang.String","[$-409]d\-mmm\-yyyy;@"
"TRANSFER_OUT_10","F14","amount_4","java.lang.String","#,##0.00_);(#,##0.00)"
"TRANSFER_OUT_10","C15","within_the_kingdom_5","java.lang.String","@"
"TRANSFER_OUT_10","D15","check_5","java.lang.String","@"
"TRANSFER_OUT_10","E15","check_date_5","java.lang.String","[$-409]d\-mmm\-yyyy;@"
"TRANSFER_OUT_10","F15","amount_5","java.lang.String","#,##0.00_);(#,##0.00)"
